뉴스 url,제목,내용,날짜
https://news.kbs.co.kr//news/view.do?ncd=7909822,전북대병원 교수 집단행동 예고…82％ 사직서 제출 의향,전북대 의과대 교수들과 전북대병원 교수들이 정부의 의과대학 정원 확대 정책에 반대해 집단행...,2024.03.10 (20:02)
https://news.kbs.co.kr//news/view.do?ncd=7909818,영국 외무 “훈련 교관 우크라이나 파병도 반대”,데이비드 캐머런 영국 외무장관은 군대 훈련 목적으로도 우크라이나에 서방 군대를 파병하는 것...,2024.03.10 (19:55)
https://news.kbs.co.kr//news/view.do?ncd=7909806,사우디 아람코 지난해 순이익 24.7% 하락,세계 최대 석유회사인 사우디아라비아 국영 아람코의 지난해 순이익이 유가 하락과 원유 감산의...,2024.03.10 (19:22)
https://news.kbs.co.kr//news/view.do?ncd=7909805,"방통위원장, 이통 3사 대표와 22일 만난다…“단통법 등 가계 통신비 인하 논의”",김홍일 방송통신위원회 위원장이 오는 22일 이통 3사 대표와 첫 회동을 갖습니다.  방통위...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909804,"삼성 19개 계열사, 내일부터 ‘2024년 상반기 공채’ 실시",삼성이 내일(11일)부터 상반기 신입사원 공개 채용을 실시합니다. 공채를 실시하는 계열사는...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909803,"“마하 5에 도달”…미 기업, 극초음속 무인항공기 시험 성공 밝혀 [현장영상]", 미국 항공우주 회사 스트라토런치가 지난 9일(현지시간) 극초음속 연구를 위한 새로운 무인...,2024.03.10 (19:17)
https://news.kbs.co.kr//news/view.do?ncd=7909801,경기 고양시 아파트 화재…1명 부상·77명 대피,오늘(10일) 오전 9시 50분쯤 경기 고양시 일산서구의 23층짜리 아파트 10층에서 불이...,2024.03.10 (19:08)
https://news.kbs.co.kr//news/view.do?ncd=7909800,"합참의장, 한미훈련 점검…“적 도발에 압도적 대응”",김명수 합참의장이 오늘(10일) 육군 2작전사령부와 공군 공중전투사령부 현장 지도를 통해 ...,2024.03.10 (19:08)
https://news.kbs.co.kr//news/view.do?ncd=7909799,"‘수사 외압 의혹’ 이종섭, 오늘 호주 출국 예정",이종섭 주호주 대사 내정자가 오늘(10일) 저녁 인천국제공항을 통해 호주 브리즈번으로 출국...,2024.03.10 (19:06)
https://news.kbs.co.kr//news/view.do?ncd=7909798,미술품 수집가 뱅크시 작품 진위 소송…뱅크시 본명 확인 여부 등 관심,영국의 유명 그라피티 미술가 뱅크시의 작품을 두고 진위 여부를 확인해달라는 소송이 제기되면...,2024.03.10 (19:06)
https://news.kbs.co.kr//news/view.do?ncd=7909797,욕지도 전복 어선 예인…이틀째 실종자 집중 수색, [앵커] 어제 경남 통영 욕지도 앞바다에서 어선이 뒤집히는 사고가 나 4명이 숨지고 5명...,2024.03.10 (19:05)
https://news.kbs.co.kr//news/view.do?ncd=7909796,내일부터 군의관·공중보건의 파견…의대 교수 반발 커져," [앵커] 전공의들의 집단 사직으로 의료 공백이 계속되는 가운데,  정부가 내일부터  군의...",2024.03.10 (19:03)
