,뉴스 url,제목,내용 요약,날짜
0,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566414&plink=RSSLINK&cooper=RSSREADER,"독재자, 최악 대통령…격전지서 바이든-트럼프 '독설' 난타전","올 11월 미 대선에서 재대결이 확정된 바이든, 트럼프, 이 두 사람이 유세 대결을 펼쳤습니다. 대표적인 경합주인 조지아에서 유세 대결을 펼쳤습니다.","Sun, 10 Mar 2024 20:39:00 +0900"
1,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566448&plink=RSSLINK&cooper=RSSREADER,"이스라엘, 가자 북부에 동서 관통로 건설",영국 BBC 방송은 위성사진 이미지를 근거로 이스라엘군이 가자지구 북부 중심 도시 가자시티 남쪽을 지나가는 도로를 만들었다고 보도했습니다. 비포장 상태인 이 길은 가자지구 북부에 인접한 이스라엘의 나할 오즈 키부츠 처에서 출발해 지중해까지 가자지구를 동서로 가로지릅니다.,"Sun, 10 Mar 2024 19:09:00 +0900"
2,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566438&plink=RSSLINK&cooper=RSSREADER,"""일본 기시다 지지율 20%""…교도통신 조사서 또 최저",하락세를 거듭하는 기시다 일본 내각 지지율이 또 최저치를 기록했습니다. 교도통신은 이달 9&sim;10일 이틀간 진행된 전화 여론 조사 결과 기시다 내각 지지율이 20.1%로 집계됐다고 보도했습니다.,"Sun, 10 Mar 2024 18:59:00 +0900"
3,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566357&plink=RSSLINK&cooper=RSSREADER,"[글로벌D리포트] 바이든 ""독재자에 아첨""…트럼프 ""미쳐 돌아가""",조지아주 주도 애틀랜타를 찾은 바이든 대통령은 트럼프가 전 세계 독재자와 권위주의 깡패들에게 아첨하고 있다고 비판했습니다. [조 바이든 / 미국 대통령 : 트럼프는 시진핑 중국 국가주석을 왕이라 부른 걸 자랑했고 푸틴 러시아 대통령에게 '우리 동맹들에게 마음대로 하라'고 했습니다.,"Sun, 10 Mar 2024 17:08:00 +0900"
4,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566351&plink=RSSLINK&cooper=RSSREADER,"'AI 대부' 제프리 힌턴 ""AI로 10년 내 킬러 로봇 등장할 것""","인공지능 분야의 대부로 불리는 제프리 힌턴 캐나다 토론토대 명예교수가 ""10년 내에 자율적으로 인간을 죽이는 로봇 병기가 등장할 것으로 본다""고 말했습니다.","Sun, 10 Mar 2024 16:25:00 +0900"
5,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566340&plink=RSSLINK&cooper=RSSREADER,"중국 정협 폐막…""중국식 현대화·공산당 영도 강조""","중국 최대 연례 정치행사 양회의 한 축이자 국정 자문기관인 인민정치협상회의, 즉 정협이 정치 결의 등 보고를 채택하고 오늘 폐막했습니다. 정협 제14기 2차 전체회의는 오늘 오전 베이징 인민대회당에서 시진핑 국가주석 겸 당 총서기, 리창 국무원 총리, 왕후닝 정협 주석 등 당정 최고지도자와 위원 2천여 명이 참가한 가운데 일주일 간의 일정을 마쳤습니다.","Sun, 10 Mar 2024 16:04:00 +0900"
6,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566163&plink=RSSLINK&cooper=RSSREADER,"[자막뉴스] 미국 AI 기술에 화들짝 놀란 중국, 과학 예산 10% 늘렸다","중국 기업의 이 신형 스마트폰은 시선 추적과 인공지능 AI 기술이 탑재됐습니다. 눈동자 움직임만으로 자동차 시동을 걸고, 앞뒤 구동까지 제어 가능합니다.","Sun, 10 Mar 2024 15:13:00 +0900"
7,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566273&plink=RSSLINK&cooper=RSSREADER,"교황, 젤렌스키 향해 ""협상서 백기 들 용기있는 자가 강한 사람""","프란치스코 교황이 2년 넘게 이어지고 있는 우크라이나 전쟁과 관련해 상황이 악화하기 전에 협상할 용기가 있어야 한다고 촉구했습니다. 교황은 오는 20일 방송 예정인 스위스 공영 방송 RTS와의 인터뷰에서 ""상황을 보며 국민을 생각하고 백기를 들고 협상할 용기가 있는 사람이 가장 강한 사람이라고 믿는다""고 말했습니다.","Sun, 10 Mar 2024 14:08:00 +0900"
8,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566207&plink=RSSLINK&cooper=RSSREADER,가자지구 구호품 바닷길 첫 운송 임박…빠르면 10일 출항,팔레스타인 가자지구가 이스라엘의 봉쇄와 공습으로 사실상 고립된 가운데 바닷길로 구호품을 전달하는 선박이 키프로스에서 빠르면 현지시간 10일에 출…,"Sun, 10 Mar 2024 12:35:00 +0900"
9,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566212&plink=RSSLINK&cooper=RSSREADER,"바이든 · 트럼프, 대선 재대결 확정 후 승부처 조지아주서 첫 격돌",오는 11월 미국 대선에서 다시 맞붙는 바이든 대통령과 트럼프 전 대통령이 현지시간 9일 최대 승부처 중 한 곳인 조지아주를 동시에 찾아 처음으로 유세 대결을 펼쳤습니다.,"Sun, 10 Mar 2024 11:52:00 +0900"
10,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566157&plink=RSSLINK&cooper=RSSREADER,라마단 유혈 충돌 터질라…중재국 '이틀간 휴전' 타진,"현지시간 10일 전후로 시작되는 이슬람 금식성월, 라마단을 앞두고 가자지구 휴전협상에서 일단 이틀이라도 전투를 중단하는 방안이 협상 테이블에 올랐습니다.","Sun, 10 Mar 2024 11:08:00 +0900"
11,https://news.sbs.co.kr/news/endPage.do?news_id=N1007566061&plink=RSSLINK&cooper=RSSREADER,가자 구호품 바닷길로 첫 운송 임박…빠르면 10일 출항,팔레스타인 가자지구가 이스라엘의 봉쇄와 공습으로 사실상 고립된 가운데 바닷길로 구호품을 전달하는 선박이 키프로스에서 빠르면 현지시간 10일 출발합니다.,"Sun, 10 Mar 2024 09:05:00 +0900"
12,https://news.sbs.co.kr/news/endPage.do?news_id=N1007562971&plink=RSSLINK&cooper=RSSREADER,"[스프] '타우러스 녹취록'에 발칵 뒤집힌 독일, 무슨 의미일까","""동쪽에 있는 다리는 접근하기가 어렵고 좁아 타격하기 어렵지만, 타우러스를 사용하면 가능합니다."" 이 녹취 발언은, 지난달 19일 독일군 고위 간부들의 비공개 화상회의 대화에서 나온 내용입니다.","Sun, 10 Mar 2024 09:01:00 +0900"
13,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565095&plink=RSSLINK&cooper=RSSREADER,[Pick] '이것' 없앴더니…7년간 교통사고 사망자 '0명',미국의 한 도시가 7년 동안 사망자 '0명'을 기록해 눈길을 끌고 있습니다. 지난 2017년 운전자와 보행자 시야를 방해하는 거리 주차를 전면 금지한 결과입니다.,"Sun, 10 Mar 2024 08:32:00 +0900"
14,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565886&plink=RSSLINK&cooper=RSSREADER,"미 사법당국, 비행 중 동체 일부 떨어져 나간 보잉 여객기 사고 수사",보도에 따르면 미 법무부는 지난 1월 5일 비행 중 동체 일부가 떨어져 나가면서 구멍이 생겨 비상 착륙한 알래스카 항공 여객기 사고와 관련해 최근 당시 여객기에 탑승했던 승객과 승무원을 상대로 조사를 벌였습니다.,"Sun, 10 Mar 2024 04:59:00 +0900"
15,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565885&plink=RSSLINK&cooper=RSSREADER,"러 ""우크라군 방공시스템 타격…미 패트리엇 2대 파괴""",스푸트니크 통신에 따르면 러시아 국방부는 현지시간 9일 오전 탄도미사일인 이스칸데르로 우크라이나 동부 도네츠크주의 포크로우스크 지역의 우크라이나군 대공무기 체계를 타격했다고 밝혔습니다.,"Sun, 10 Mar 2024 04:58:00 +0900"
16,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565877&plink=RSSLINK&cooper=RSSREADER,"바이든, 농무부 관련 등 미쟁점 예산안 서명…셧다운 위기 넘겨",백악관은 조 바이든 대통령이 이날 총 12개 세출법안으로 구성되는 2024 회계연도 예산안 중 6개에 해당하는 예산안에 서명했다고 밝혔습니다. 백악관은 예산안 합의를 이끈 상·하원의 민주당과 공화당 지도부에 감사를 표했습니다.,"Sun, 10 Mar 2024 02:39:00 +0900"
17,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565871&plink=RSSLINK&cooper=RSSREADER,"바이든, 광고로 고령 논란 대응…""젊지 않지만 결과 낼 줄 안다""","바이든 캠프가 현지시간 9일 공개한 영상 광고에서 바이든 대통령은 시청자를 응시하고 미소를 지으면서 ""봐라, 난 젊은이가 아니다. 그게 비밀은 아니다""라고 말해 자신이 나이가 많다는 사실을 인정하면서 시작합니다.","Sun, 10 Mar 2024 00:20:00 +0900"
18,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565870&plink=RSSLINK&cooper=RSSREADER,스웨덴도 '하마스 연계 의혹' 유엔 팔 난민기구 지원 재개,"AFP 통신에 따르면 스웨덴 정부는 성명에서 ""올해 4억 크로나를 UNRWA에 배정했다""며 ""오늘 발표는 첫 번째 2억 크로나 에 관한 것""이라고 밝혔습니다.","Sun, 10 Mar 2024 00:19:00 +0900"
19,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565786&plink=RSSLINK&cooper=RSSREADER,"미국 AI 기술에 화들짝 놀란 중국, 과학 예산 10% 늘렸다","활용도가 높아지고 있는 AI 기술을 두고 미국과 중국이 치열하게 주도권 경쟁을 벌이고 있습니다. 미국의 기술 봉쇄에 맞서서, 중국은 인공지능 기술 국산화에 박차를 가하고 있습니다.","Sat, 9 Mar 2024 21:46:00 +0900"
20,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565784&plink=RSSLINK&cooper=RSSREADER,낙하산 고장에 추락…'공중 투하 구호품'에 맞아 5명 사망,가자지구에서 안타까운 사고 소식이 또 들어왔습니다. 공중에서 떨어지는 구호품에 맞아 주민 5명이 숨졌습니다. 낙하산이 펼쳐지지 않아서 구호품이 로켓처럼 떨어져 버린 것입니다.,"Sun, 10 Mar 2024 08:05:00 +0900"
21,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565822&plink=RSSLINK&cooper=RSSREADER,"권도형 측 ""미국에 '한국 송환' 결정 바꿀 기회·권한 없어""",미국이 '테라·루나' 사태의 핵심 인물인 권도형 씨의 인도를 계속 추진하겠다는 입장을 밝힌 것과 관련해 권 씨 측은 미국에는 판결을 바꿀 기회나 권한이 없다며 이를 일축했습니다.,"Sat, 9 Mar 2024 19:55:00 +0900"
22,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565802&plink=RSSLINK&cooper=RSSREADER,"예멘 반군 ""미 군함·벌크선 공격""…미군 ""드론 15대 격추""","후티 반군 야히야 사리 대변인은 현지 시간 9일 TV성명에서 ""미국 벌크선과 다수의 미군 구축함을 겨냥해 드론 37대를 발사했다""고 밝혔습니다.","Sat, 9 Mar 2024 18:49:00 +0900"
23,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565744&plink=RSSLINK&cooper=RSSREADER,"중국 2월 소비자물가, 춘제 효과로 6개월 만에 상승",중국의 소비자물가가 중국 최대 명절인 춘제 효과로 6개월 만에 상승세로 돌아섰습니다. 중국 국가통계국은 2월 소비자물가지수가 지난해 같은 기간보다 0.7% 올랐다고 밝혔습니다.,"Sat, 9 Mar 2024 17:32:00 +0900"
24,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565681&plink=RSSLINK&cooper=RSSREADER,"미 FDA, 비만치료제 위고비 심혈관질환 예방에 사용 승인","FDA는 현지시간 8일 보도자료에서 ""심혈관 질환이 있거나 비만 또는 과체중인 성인을 대상으로 심혈관 관련 사망, 심장마비, 뇌졸중 위험을 줄이는 데에 위고비를 사용할 수 있도록 새로운 치료 범위를 승인했다""고 밝혔습니다.","Sat, 9 Mar 2024 14:40:00 +0900"
25,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565680&plink=RSSLINK&cooper=RSSREADER,베트남서 50대 한인 '의류 1만 8천 점 밀반입' 혐의로 체포돼,현지 매체인 VN익스프레스에 따르면 중부 투아티엔후에성 공안은 58세 한인 남성 A 씨를 붙잡아 조사 중입니다. 공안은 현지 기업에 근무하는 A 씨가 의류 1만 8천 점을 밀반입한 것으로 보고 있습니다.,"Sat, 9 Mar 2024 14:37:00 +0900"
26,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565627&plink=RSSLINK&cooper=RSSREADER,"미 유나이티드 여객기 착륙 뒤 활주로 이탈…""부상자 없어""",미국 유나이티드항공사의 여객기가 텍사스주 휴스턴공항 활주로에서 이탈하는 사고가 벌어졌습니다. 현지 시간 8일 오전 8시쯤 텍사스주 휴스턴 국제공항에서 유나이티드항공의 보잉 737 맥스8 기종이 착륙 후 이동 중 활주로를 벗어나 잔디 구역에 들어갔습니다.,"Sat, 9 Mar 2024 12:35:00 +0900"
27,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565618&plink=RSSLINK&cooper=RSSREADER,"캐나다, '하마스 공모의혹' 유엔 팔레스타인 난민기구 지원 재개",팔레스타인 무장정파 하마스 연루 의혹으로 유엔 팔레스타인 난민구호기구에 대한 자금지원을 중단했던 국가들 가운데 캐나다가 가장 먼저 지원을 재개했습니다.,"Sat, 9 Mar 2024 11:14:00 +0900"
28,https://news.sbs.co.kr/news/endPage.do?news_id=N1007565599&plink=RSSLINK&cooper=RSSREADER,"공중투하 구호품에 맞아 가자 주민 5명 사망…미국 ""우리 것 아니다""",가자 보건부는 현지시간 8일 알샤티 난민촌에 투하된 구호품 중 하나에 부착된 낙하산이 제대로 펼쳐지지 않아 구호품을 받으려던 주민들 위로 떨어졌다고 전했습니다.,"Sat, 9 Mar 2024 12:49:00 +0900"
